text,Actual
"Awesome product 😍",Positive
"Very poor quality",Negative
"Average experience",Neutral
"Phone is good 👍",Positive
"Not happy with service 😡",Negative
"Okay performance 😐",Neutral
"Delivery was fast 🎉",Positive
"Battery drains quickly 👎",Negative
"Nothing special",Neutral
"Bagundi product chala use avuthundi",Positive
"Ee phone baaledu asalu",Negative
"Just average undi",Neutral
"Chala bagundi 😍",Positive
"Worst quality asalu",Negative
"Okay undi 🙂",Neutral
"Bahut badhiya phone",Positive
"Yeh product bekar hai",Negative
"Theek theek hai",Neutral
"Paisa vasool 😎",Positive
"Bilkul kharab 😡",Negative
"Very satisfied 😊",Positive
"Not satisfied at all 😞",Negative
"Normal product",Neutral
"Excellent packaging 🎁",Positive
"Late delivery 😠",Negative
"Hmm 🤔",Neutral
"Chala waste product",Negative
"Bahut accha service",Positive
"Okay hai 😐",Neutral
"Feeling happy with this 🥳",Positive
"Super fast performance 🔥",Positive
"Camera quality is amazing 😍",Positive
"Totally waste of money",Negative
"Battery life is excellent 👍",Positive
"Charging is very slow 👎",Negative
"Product looks nice",Positive
"Build quality is strong 💯",Positive
"Display is very bright ✨",Positive
"Heating issue while gaming 😤",Negative
"Sound quality is decent",Neutral
"Manchidi product chala bagundi",Positive
"Ee laptop chala slow undi",Negative
"Performance bagaledu",Negative
"Chala super phone 🔥",Positive
"Delivery chala late ayindi 😡",Negative
"Average phone nothing great",Neutral
"Bahut mast product 😍",Positive
"Service bahut kharab hai",Negative
"Phone sahi hai",Positive
"Bahut bekar experience",Negative
"Paisa vasool product",Positive
"Good value for money",Positive
"Bad packaging 😤",Negative
"Fast charging super 👍",Positive
"Screen damage ayindi 😡",Negative
"Okay okay phone",Neutral
"Great customer support 😊",Positive
"Very disappointing 😞",Negative
"Not worth the price",Negative
"Highly recommended product",Positive